## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT sorted.sam --OUTPUT marked_duplicates.bam --METRICS_FILE metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Oct 10 12:31:33 UTC 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR6357070_lib	6026	38234	1638	17000	5526	5637	0	0.203651	116579

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999999	29099	29099
2.0	1.720386	2484	2484
3.0	2.239344	559	559
4.0	2.613194	236	236
5.0	2.882511	95	95
6.0	3.076523	44	44
7.0	3.216287	24	24
8.0	3.316972	11	11
9.0	3.389503	10	10
10.0	3.441754	9	9
11.0	3.479395	11	11
12.0	3.506511	2	2
13.0	3.526045	2	2
14.0	3.540117	2	2
15.0	3.550255	1	1
16.0	3.557557	1	1
17.0	3.562818	1	1
18.0	3.566608	3	3
19.0	3.569338	0	0
20.0	3.571305	0	0
21.0	3.572722	1	1
22.0	3.573742	1	1
23.0	3.574478	0	0
24.0	3.575007	0	0
25.0	3.575389	0	0
26.0	3.575664	0	0
27.0	3.575862	1	1
28.0	3.576005	0	0
29.0	3.576107	0	0
30.0	3.576181	0	0
31.0	3.576235	0	0
32.0	3.576273	0	0
33.0	3.576301	0	0
34.0	3.576321	0	0
35.0	3.576335	0	0
36.0	3.576345	0	0
37.0	3.576353	0	0
38.0	3.576358	0	0
39.0	3.576362	0	0
40.0	3.576365	0	0
41.0	3.576367	0	0
42.0	3.576368	0	0
43.0	3.576369	0	0
44.0	3.57637	0	0
45.0	3.576371	0	0
46.0	3.576371	0	0
47.0	3.576371	0	0
48.0	3.576372	0	0
49.0	3.576372	0	0
50.0	3.576372	0	0
51.0	3.576372	0	0
52.0	3.576372	0	0
53.0	3.576372	0	0
54.0	3.576372	0	0
55.0	3.576372	0	0
56.0	3.576372	0	0
57.0	3.576372	0	0
58.0	3.576372	0	0
59.0	3.576372	0	0
60.0	3.576372	0	0
61.0	3.576372	0	0
62.0	3.576372	0	0
63.0	3.576372	0	0
64.0	3.576372	0	0
65.0	3.576372	0	0
66.0	3.576372	0	0
67.0	3.576372	0	0
68.0	3.576372	0	0
69.0	3.576372	0	0
70.0	3.576372	0	0
71.0	3.576372	0	0
72.0	3.576372	0	0
73.0	3.576372	0	0
74.0	3.576372	0	0
75.0	3.576372	0	0
76.0	3.576372	0	0
77.0	3.576372	0	0
78.0	3.576372	0	0
79.0	3.576372	0	0
80.0	3.576372	0	0
81.0	3.576372	0	0
82.0	3.576372	0	0
83.0	3.576372	0	0
84.0	3.576372	0	0
85.0	3.576372	0	0
86.0	3.576372	0	0
87.0	3.576372	0	0
88.0	3.576372	0	0
89.0	3.576372	0	0
90.0	3.576372	0	0
91.0	3.576372	0	0
92.0	3.576372	0	0
93.0	3.576372	0	0
94.0	3.576372	0	0
95.0	3.576372	0	0
96.0	3.576372	0	0
97.0	3.576372	0	0
98.0	3.576372	0	0
99.0	3.576372	0	0
100.0	3.576372	0	0

